Reforma del estado,Combate a la corrupción,Seguridad Paz y Justicia,El papel de México en el mundo,Estado,Distrito
Hacer una nueva constitución,Fortalecer con valores a nuestro personal de seguridad (policías y burocratas) para fomentar el servicio al pueblo.,Fortalecer con valores a nuestro personal de seguridad (policías y burocratas) para fomentar el servicio al pueblo.,"La defensa de los intereses económicos, geopolíticos, culturales y tecnologías.",EDOMEX,37
,Denuncia naónima de los casos de corrupción.,Hay que fomentar los valores con los niños y los jóvenes en las escuelas.,,EDOMEX,37
Revocación de mandato para todos los servidores públicos electos.,Darle el poder al pueblo en la toma de decisiones.,Implementar cámaras en todas las Av. principales.,Integración de américa en un sólo bloque con respeto a las naciones.,EDOMEX,37
Crear una comisión u otro mecanismo para fiscalizar y auditar su trabajo para que rindan cuentas al pueblo.,Lacorrupción se combate con educación.,Que las reformas de los Derechos Humanos sean modificadas y que no usen en beneficio para los delicuentes. ,Fortalecer las instancias de investigación para evitar la fuga de cerebros.,EDOMEX,37
Que los ministros tengan una agenda y personal capacitado para atender a las victimas. ,Que haya una instancia especifica y distinta al lugar en donde se esta denunciando la corrupción. ,Teber valores éticos y morales., Diversificación de las relaciones internacionales.,EDOMEX,37
Reforma a ley de ingresos.,Bjar salarios a los del INE,Implementar programas para rescatar a los jóvenes de las drogas.,Más apoyo a migrantes.,EDOMEX,37
Reformar al INE.,,Continuar brindando el apoyo de jóvenes construyendo el futuro. ,,EDOMEX,37
Mayoría absoluta en la cámara de diputados y senadores.,,Policía ciudadana en los municipios integrada por vecinos de la comunidad.,,EDOMEX,37
Nueva constituyente.,,Cambiar al personal de los Ministerios Públicos. ,,EDOMEX,37
Reforma electoral democrática,,Educación intrafamilar y módulos de prevención. ,,EDOMEX,37
Nueva constitución,,"Desaparición de la policía municipal por ser la más corrupta de todas, e implementar la GN.",,EDOMEX,37
Que nadie gane más que el presidente.,,"Fortalecer los valores éticos, cívicos y morales.",,EDOMEX,37
Implementar comisión de vigilancia a procesos y magistrados.,,Reformar Ministerios públicos y todo el sistema judicial.,,EDOMEX,37
que pague más el que más tiene.,,Hacer un cambio y en la policía municipal y estatal. ,,EDOMEX,37
Disminuir el número de diputados.,,Dar continuidad a los caso de violencia en su totalidad. ,,EDOMEX,37
,,Hacer delcaración de bienes cada año para evitar enrequecimiento ilicito.,,EDOMEX,37
,,Que se aplique la ley a jueces corruptos.,,EDOMEX,37
,,Legitimar el orden constitucional mediante procesos democráticos acerquen al pueblo al poder incluido el poder judicial y el sistema electoral.,,EDOMEX,37
,,Educar a los nuevos abogados para servir al pueblo y no favorecer a la oligarquía. ,,EDOMEX,37
Reforma electoral para reducir partidos.,Realización de auditorias a quienes recibieron privilegios durante el neoliberalismo.,Que se tome en cuenta a los pueblos originarios; que ya no sean marginados.,"Defensa a la no intervención en nuestro país (militar, política).",EDOMEX,40
Crear un observatorio social para vigilar el ejercicio del gobierno.,Renovación del servicio público.,Formación ética y en valores.,Fomentar empleos mexicanos.,EDOMEX,40
"Reforma educatica para trabajar a favor de la educación y los estudiantes, creando becas y apoyos a escuelas de bajos recursos.",Justicia pronta y expedíta.,Justicia para maestros normalistas y universitarios.,Mirar al interior de nuestro país como política exterior.,EDOMEX,40
Reforma laboral en función de una mejor jubilación para los trabajadores.,Cambiar a los jueces corruptos y capacitar a la ciudadanía en sus derechos para que puedan defenderse de la corrupción.,Que los estudiantes egresados tengan oportunidades para laborar,Que los ejidos no se vendan a los extranjeros.,EDOMEX,40
Reforma al poder judicial.,Acceso a la información.,Mayor participación a los jóvenes y más presupuesto para obra pública.,Mantener una economía estable en México.,EDOMEX,40
Juicio político. Recuperación de bienes nacionales.,Remover a funcionaros corruptos.,Rescate al campo,Defender nuestros intereses y competir en ciencia y tecnología.,EDOMEX,40
Reforma al poder judicial para que se reduzca el tiempo de los ministros y magistrados en sus funciones.,Transparencuia para el ciudadano.,Poner atención a y mejorar los servicios de salud.,Resolver primero lo nuestro.,EDOMEX,40
Que los órganos autónomos sean normbrados por las cámaras.,Que los representantes terminen sus mandatos al 100%,Incrementar el apoyo al deporta y la educación a municipios.,Apoyar los talentos de nuestro país.,EDOMEX,40
Rescate al campo.,Que las contralorias hagan su trabajo.,Ampliar horarios en atención a la salud para todos y no sólo para los que tengan seguro.,,EDOMEX,40
Revocación de mandato a ministros.,Capacitación a los trabajadores de las instituciones y agilización de los trámites.,Que lleguen recursos a toda la república.,,EDOMEX,40
Reforma electoral . Recorte a gasto en elecciones.,Aplicación de la ley sin distinción partidista.,Que la edad mínima para pensionarse sea a los cincuenta años.,,EDOMEX,40
Reforma a los órganos autónomos: sacar a los partidos políticos de estos.,"Eliminar el fuero a todos los servidores públicos. A los que no cumplan con la ley, retirarlos del cargo.",Justicia para los pueblos indígenas y originarios.,,EDOMEX,40
Reforma a instituciones de salud.,Tomar en cuenta a los profesionistas.,Bajar la edad de programas sociales.,,EDOMEX,40
Reformar en materia de acceso a la información y transparencia.,Combatir el padrinazgo y el paternalismo político.,Empleos para las personas mayores de cincuenta años.,,EDOMEX,40
Reforma medioambiental para aprovechamiento forestal.,Oportunidad de trabajo para todos los mexicanos con o sin experiencia y sin importar la edad.,Ampliación de la edad para ser contratado.,,EDOMEX,40
Revisión de todos los artículos de la Constitución para garantizar el poder del pueblo y quitar el fuero a los tres poderes en caso de corrupción.,Buenos sueldos para evitar la corrupción. Así se evita la necesidad de recurrir a ésta para acompletar salarios.,Formar a la policía en ética y valores,,EDOMEX,40
Reforma laboral para regresar la jubilación. Reforma a la salud para garantizar medicamentos.,Educar en ética y filosofía.,"Combatir la impunidad, la omisión y la negligencia.",,EDOMEX,40
Reforma en materia de pueblos indígenas.,Combatir la negligencia y la impunidad.,"Apoyo Pymes, desarrollo de proyectos para emprendimiento.",,EDOMEX,40
Reforma al poder judicial para que ministros y magistrados sean votados por el pueblo.,Rendición de cuentas.,Profesionalización de quienes están encargados de la procuración y ejecución de la justicia.,,EDOMEX,40
Reforma electoral para eliminar a los partidos que sólo buscan el subsidio del INE.,Transparencia en todos los cargos y funcionarios.,Reforma educattiva profunda y real que encamine a una cultura de construcción y mantnimiento del tejido social.,,EDOMEX,40
Reforma política: desaparacer plurinonominales.,Quitar privilegios a servidores públicos.,Quitar jueces corruptos.,,EDOMEX,40
Reforma a los poder autónomos para eliminar privillegios.,"Profundizar el valor del patriotismo, los valores sociales, morales y jurídicos.",Acceso a oportunidades de trabajo.,,EDOMEX,40
,Más diálogo con la sociedad civil.,Derechos laborales.,,EDOMEX,40
,Separar el poder político y el económico.,"Sueldos bien remunerados, acceso a microempresas, jubilaciones justas y seguro para nuestros niños y jóvenes.",,EDOMEX,40
,Profesionalización de la seguridad pública,Justicia social.,,EDOMEX,40
,Educación y más y mejores oportunidades.,Ayudar a personas de bajos recursos.,,EDOMEX,40
,Investigar a los posibles funcionarios para saber si tienen nexos con la delincuencia.,Atennder denuncias de la ciudadanía.,,EDOMEX,40
,"Más que reformas, aplicar las leyes al 100%.",Que cada ayuntamiento tenga su propia fiscalía o centro de procuración de justicia.,,EDOMEX,40
,Pruebas de confirnza para ocupor cargis y funciones.,Mejorar los sistemas de salud.,,EDOMEX,40
,"Mejorar la calidad de vida, trabajos bien remunerados, derecho a la educación, distribución de la riqueza.",Fortalecer la educación.,,EDOMEX,40
,Combatir el influyentismo.,Generar instituciones de apoyo a las mujeres víctimas de violencia desde los inicios para evitar que escalen las consecuencias,,EDOMEX,40
,Oportunidades de trabajo con salarios dignos.,Reformas para que la ciudadanía tenga justicia y seguridad.,,EDOMEX,40
,Dar más facultades a las contralorias estatales y de la federación.,,,EDOMEX,40
,Promover la cultura de la denuncia ciudadana.,,,EDOMEX,40
,Rotar a las autoridades de la administración de justicia como ministerios públicos y jueces.,,,EDOMEX,40
,Auditoria a provedores.,,,EDOMEX,40
,Preparar mejor a los maestros y docentes y mejorar las escuelas.,,,EDOMEX,40
,Que se fiscalice a los municipios.,,,EDOMEX,40
,Combatir el narcomenudeo. Actualizar la seguridad pública.,,,EDOMEX,40
,Apoyar a los campesinos con maquinaria. Apoyo a gente mayor con trabajo. Apoyo y respeto a las mujeres.,,,EDOMEX,40
"Como no fueron electos por el pueblo los ministros de la Suprema Corte de Justicia, sacarlos y elegir nuevos por el voto del pueblo.",Que sea pronta y expedita la contraloría y que se apliquen bien las leyes.,Educación y cultura en todas las colonias.,El respeto y la colaboración para la paz. Buena educación y cultura para todos,Morelos,1
Quitar a los magistrados de la nación y acabar con la corrupción que impera en el poder judicial.,Juicio y cárcel a los corruptos.,Se requiere un programa que promueva y oriente la participación ciudadana para combatir la inseguridad y promover la paz.,Que haya mejor trato a los migrantes.,Morelos,1
Que sea muy claro para qué se contrata la gente y haya órganos de control para evaluar su función.,Participación ciudadana.,La participación de la ciudadanía es primordial porque ellos son los ojos para una buena impartición de justicia.,Que continúe la defensa de Cuba y otras naciones.,Morelos,1
Que se apliquen las leyes a los malos servidores públicos.,"Que los funcionarios antes de ser contratados sean evaluados por un ""test"" de ética que si valore su conducta ética.","Que los integrantes de la seguridad no sean delincuentes, de calidad moral comprobada e intelectualmente capaces. Buena educación para todos.",El incremento de acciones para que las remesas tengan pocas retenciones.,Morelos,1
Que se someta a consulta la elección de los ministros.,Que los diputados bajen sus salarios.,Deben enfocarse integralmente con los otros temas.,Qué efectiva esa defensa.,Morelos,1
La Reforma Electoral es indispensable junto con la Reforma Fiscal.,Que los policías no sean corruptos.,Vigilancia todas las noches para seguridad.,Que se garanticen los mismos derechos a los extranjeros.,Morelos,1
Necesitamos congruencia.,Que la gente tenga participación activa en el cuidado y transparencia.,Que la seguridad sea para jóvenes.,Apoyar y apoyarnos en Latinoamérica.,Morelos,1
"Eliminar el compadrazgo, el amiguismo, que la burocracia sea gente capaz preparada y con convicción de servir. Buena educación y cultura para todos",Promover la cultura de la denuncia y aumentar los años de castigo o penas.,Si las fuerzas armadas están en seguridad que sean capacitadas para ello.,"Que los migrantes sean tratados como personas, no como animales.",Morelos,1
No reelección a los ministros. Evitar que se queden por mucho tiempo.,Castigo inmediato a ladrones y todo tipo de delincuentes.,Acceso a las áreas de esparcimiento en zonas de alta inseguridad.,Que los migrantes sean tratados con dignidad.,Morelos,1
